kind,date,src,dst,n_tx,n_payers,sum_kzt,max_kzt,src_role,dst_role,dst_cluster,note
pair_day,2026-07-16,100000002224132100,100000004892144100,3,1,2700000.0,1000000.0,peripheral,peripheral,21,"3 перевода за день от 100000002224132100 к 100000004892144100: 2,700,000 KZT, крупнейший 1,000,000"
fan_in_day,2026-07-19,,100000003115284100,11,7,1885000.0,300000.0,,consolidator,8,"7 разных плательщиков за день перевели 100000003115284100: 11 переводов, 1,885,000 KZT"
pair_day,2026-07-16,100000002963189100,100000008517061100,4,1,1844000.0,500000.0,peripheral,peripheral,12,"4 перевода за день от 100000002963189100 к 100000008517061100: 1,844,000 KZT, крупнейший 500,000"
pair_day,2026-07-24,100000002963189100,100000002605308100,3,1,1500000.0,500000.0,peripheral,terminal,12,"3 перевода за день от 100000002963189100 к 100000002605308100: 1,500,000 KZT, крупнейший 500,000"
fan_in_day,2026-07-21,,100000006889963100,5,4,1280000.0,300000.0,,consolidator,4,"4 разных плательщика за день перевели 100000006889963100: 5 переводов, 1,280,000 KZT"
pair_day,2026-07-07,100000004906181100,100000008175078100,3,1,1260000.0,600000.0,peripheral,peripheral,31,"3 перевода за день от 100000004906181100 к 100000008175078100: 1,260,000 KZT, крупнейший 600,000"
fan_in_day,2026-07-30,,100000001303311100,4,4,1189000.0,600000.0,,consolidator,14,"4 разных плательщика за день перевели 100000001303311100: 4 перевода, 1,189,000 KZT"
fan_in_day,2026-07-29,,100000001282143100,4,4,1100000.0,480000.0,,consolidator,7,"4 разных плательщика за день перевели 100000001282143100: 4 перевода, 1,100,000 KZT"
fan_in_day,2026-07-16,,100000002547110100,8,5,1026000.0,174000.0,,consolidator,3,"5 разных плательщиков за день перевели 100000002547110100: 8 переводов, 1,026,000 KZT"
pair_day,2026-07-26,100000001937767100,100000002605308100,3,1,1000000.0,400000.0,peripheral,terminal,12,"3 перевода за день от 100000001937767100 к 100000002605308100: 1,000,000 KZT, крупнейший 400,000"
fan_in_day,2026-07-23,,100000003684369100,9,6,751000.0,248000.0,,peripheral,2,"6 разных плательщиков за день перевели 100000003684369100: 9 переводов, 751,000 KZT"
fan_in_day,2026-07-24,,100000003684369100,8,4,720000.0,257000.0,,peripheral,2,"4 разных плательщика за день перевели 100000003684369100: 8 переводов, 720,000 KZT"
pair_day,2026-07-23,100000007982728100,100000001411870100,3,1,700000.0,420000.0,peripheral,terminal,5,"3 перевода за день от 100000007982728100 к 100000001411870100: 700,000 KZT, крупнейший 420,000"
pair_day,2026-07-23,100000004722765100,100000005075949100,3,1,687000.0,470000.0,peripheral,peripheral,39,"3 перевода за день от 100000004722765100 к 100000005075949100: 687,000 KZT, крупнейший 470,000"
pair_day,2026-07-13,100000008637537100,100000001732159100,5,1,615000.0,318000.0,peripheral,peripheral,35,"5 переводов за день от 100000008637537100 к 100000001732159100: 615,000 KZT, крупнейший 318,000"
fan_in_day,2026-07-29,,100000002369874100,4,4,600000.0,265000.0,,consolidator,3,"4 разных плательщика за день перевели 100000002369874100: 4 перевода, 600,000 KZT"
fan_in_day,2026-07-09,,100000002398779100,12,7,537607.0,200000.0,,consolidator,0,"7 разных плательщиков за день перевели 100000002398779100: 12 переводов, 537,607 KZT"
pair_day,2026-07-03,100000008637537100,100000001732159100,3,1,534000.0,278000.0,peripheral,peripheral,35,"3 перевода за день от 100000008637537100 к 100000001732159100: 534,000 KZT, крупнейший 278,000"
