rank,gid,role,priority_score,why,cluster_id,role_score
1,100000004015047100,consolidator,1.0,"получает от 9 плательщиков (919,104 KZT, из них 3 seed), отдаёт дальше 8% | приоритет за: связь с seed, роль",5,0.9247
2,100000003115284100,consolidator,0.9903,"получает от 8 плательщиков (2,160,500 KZT, из них 2 seed), отдаёт дальше 24% | приоритет за: роль, связь с seed",8,0.7607
3,100000003701161100,consolidator,0.9572,"получает от 4 плательщиков (1,527,103 KZT, из них 1 seed), отдаёт дальше 23% | приоритет за: роль, число плательщиков",20,0.3
4,100000008603629100,coordinator,0.9534,"связывает 10 кластера; посредничество топ-5 из 2248; получает от 19, отправляет 61; пропуск 274% | приоритет за: роль, число плательщиков",6,1.0
5,100000002838861100,consolidator,0.9515,"получает от 5 плательщиков (554,524 KZT, из них 2 seed), отдаёт дальше 2% | приоритет за: роль, связь с seed",3,0.457
6,100000007908818100,consolidator,0.9502,"получает от 4 плательщиков (727,475 KZT, из них 2 seed), отдаёт дальше 42% | приоритет за: роль, связь с seed",6,0.3
7,100000004299488100,consolidator,0.9435,"получает от 6 плательщиков (1,749,000 KZT, из них 1 seed), отдаёт дальше 20% | приоритет за: роль, число плательщиков",0,0.4527
8,100000008686313100,consolidator,0.9428,"получает от 6 плательщиков (1,912,716 KZT, из них 1 seed), отдаёт дальше 17% | приоритет за: роль, число плательщиков",0,0.4755
9,100000005933757100,coordinator,0.9425,"связывает 10 кластера; посредничество топ-8 из 2248; получает от 4, отправляет 34; пропуск 241% | приоритет за: роль, число плательщиков",12,0.7589
10,100000006889963100,consolidator,0.9415,"получает от 4 плательщиков (1,431,000 KZT, из них 2 seed), отдаёт дальше 31% | приоритет за: роль, связь с seed",4,0.3
11,100000000331309100,coordinator,0.9404,"связывает 12 кластера; посредничество топ-6 из 2248; получает от 5, отправляет 99; пропуск 2336% | приоритет за: роль, число плательщиков",4,0.8885
12,100000007055802100,consolidator,0.9316,"получает от 6 плательщиков (2,024,999 KZT, из них 1 seed), отдаёт дальше 30% | приоритет за: роль, число плательщиков",0,0.3512
13,100000004403675100,coordinator,0.9231,"связывает 5 кластера; посредничество топ-11 из 2248; получает от 4, отправляет 5; пропуск 145% | приоритет за: роль, связь с seed",17,0.5435
14,100000005514161100,consolidator,0.9106,"получает от 4 плательщиков (401,500 KZT, из них 1 seed), отдаёт дальше 12% | приоритет за: роль, число плательщиков",7,0.3
15,100000001899164100,consolidator,0.9076,"получает от 4 плательщиков (291,675 KZT, из них 1 seed), отдаёт дальше 26% | приоритет за: роль, число плательщиков",10,0.3
16,100000002398779100,consolidator,0.9033,"получает от 13 плательщиков (1,095,690 KZT, из них 0 seed), отдаёт дальше 6% | приоритет за: роль, число плательщиков",0,0.9398
17,100000006734214100,consolidator,0.9005,"получает от 5 плательщиков (610,000 KZT, из них 0 seed), отдаёт дальше 6% | приоритет за: роль, число плательщиков",4,0.416
18,100000004159526100,consolidator,0.8999,"получает от 4 плательщиков (275,037 KZT, из них 1 seed), отдаёт дальше 25% | приоритет за: роль, число плательщиков",12,0.3
19,100000000437046100,distributor,0.8981,"рассылает 42 получателям 7,606,224 KZT, средний перевод 104,195; получает от 9 | приоритет за: роль, число плательщиков",0,1.0
20,100000004156082100,distributor,0.8936,"рассылает 26 получателям 2,319,556 KZT, средний перевод 79,985; получает от 5 | приоритет за: роль, число плательщиков",1,1.0
21,100000008477350100,distributor,0.8921,"рассылает 39 получателям 3,374,866 KZT, средний перевод 76,702; получает от 11 | приоритет за: роль, число плательщиков",0,1.0
22,100000004071080100,consolidator,0.8917,"получает от 9 плательщиков (238,600 KZT, из них 1 seed), отдаёт дальше 19% | приоритет за: роль, число плательщиков",0,0.8051
23,100000008346837100,coordinator,0.8864,"связывает 7 кластера; посредничество топ-1 из 2248; получает от 9, отправляет 25; пропуск 495% | приоритет за: роль, число плательщиков",11,1.0
24,100000008560717100,consolidator,0.8743,"получает от 7 плательщиков (529,000 KZT, из них 1 seed), отдаёт дальше 5% | приоритет за: роль, число плательщиков",4,0.7777
25,100000005910114100,coordinator,0.8624,"связывает 7 кластера; посредничество топ-4 из 2248; получает от 3, отправляет 19; пропуск 451% | приоритет за: роль, посредничество",0,1.0
26,100000006788200100,consolidator,0.8607,"получает от 4 плательщиков (272,156 KZT, из них 1 seed), отдаёт дальше 24% | приоритет за: роль, число плательщиков",5,0.3
27,100000008165763100,peripheral,0.8585,"получает от 15 (1,165,815), отправляет 17 (1,267,858); ниже порогов ролей | приоритет за: число плательщиков, посредничество",2,0.2
28,100000004400305100,coordinator,0.8583,"связывает 11 кластера; посредничество топ-12 из 2248; получает от 7, отправляет 82; пропуск 2617% | приоритет за: роль, число плательщиков",0,0.5087
29,100000002578405100,distributor,0.8542,"рассылает 116 получателям 3,108,352 KZT, средний перевод 25,903; получает от 2 | приоритет за: роль, посредничество",55,1.0
30,100000004997515100,consolidator,0.8542,"получает от 4 плательщиков (395,000 KZT, из них 0 seed), отдаёт дальше 14% | приоритет за: роль, число плательщиков",3,0.3
